Job_N,Model_FU.,Empirical_FU.,App.Cry.str.,Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_V)[GPa],Shear(G_V)[GPa],Young(E_V)[GPa],Bulk(B_R)[GPa],Shear(G_R)[GPa],Young(E_R)[GPa],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Hv:Polycrystalline,Hv:Single-crystal,F.Toughness(MPam1/2),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B],D/B:,N-Cauchy_P.[GPa],D/B:,Born's_Stability,A(U):Universal_Anisotropy,A(B):Percent_Bulk_Anisotropy,A(G):Percent_Shear_Anisotropy,A(Z):Zener_Anisotropy,A(1):Shear_Anisotropy,A(2):Shear_Anisotropy,A(3):Shear_Anisotropy,Lame's(Lammda)[GPa],Lame's(Mu)[GPa],V_trans[m/s],V_longi[m/s],V_mean[m/s],C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66
229_206,C8Zr2Ta2Ti2Nb2,ZrTiTaNbC4,Orthorhombic,6.370095,6.356455,4.513793,182.768823,8.377,-161.981618,-0.642,-8.063,50.5,674.8,270.21,180.63,443.15,270.19,175.14,432.07,270.2,177.89,437.61,22.398,22.392,26.861,3.290148211,2738.78,2.8686,0.23,0.658,Brittle,-34.1,Ductile,stable,0.1568,0,0.0154,N_def.,0.7182,0.7361,1.3439,151.54,177.89,4609,7784,5105,511.32,184.77,119.67,-0.02,0,-2.36,184.77,501.26,121.59,-0.01,0,-4.14,119.67,121.59,567.21,-0.02,0.01,3.79,-0.02,-0.01,-0.02,150.67,2.69,0,0,0,0.01,2.69,151.87,0.01,-2.36,-4.14,3.79,0,0.01,216.04,0.0023107,-0.0007735,-0.0003218,0.0000001,0,0.000016,-0.0007735,0.0023638,-0.0003438,0.0000001,0,0.0000429,-0.0003218,-0.0003438,0.0019049,0.0000001,-0.0000001,-0.0000435,0.0000001,0.0000001,0.0000001,0.0066391,-0.0001178,0,0,0,-0.0000001,-0.0001178,0.0065869,-0.0000003,0.000016,0.0000429,-0.0000435,0,-0.0000003,0.0046305
242_4223,C10Zr2Ta2Ti2Nb2Sc2,ZrTiTaNbScC5,Orthorhombic,7.147708,7.174642,4.519752,231.782869,7.422,-195.510415,-0.628,-7.795,67.22,718.7,247.5,182.14,438.78,247.46,180.83,436.23,247.48,181.48,437.51,25.684,26.149,27.403,3.188058843,2638.72,3.0503,0.205,0.733,Brittle,46.72,Brittle,stable,0.0364,0.0001,0.0036,N_def.,0.8506,0.8442,0.9665,126.15,181.54,4946,8122,5463,500.21,121.69,115.47,0.01,0.03,-15.01,121.69,501.69,114.29,0.01,0.03,13.35,115.47,114.29,522.73,0.01,0.03,2.21,0.01,0.01,0.01,168.41,0.5,0,0.03,0.03,0.03,0.5,167.96,0,-15.01,13.35,2.21,0,0,183.27,0.0022056,-0.0004521,-0.0003893,-0.0000001,-0.0000002,0.0002183,-0.0004521,0.0021944,-0.0003791,-0.0000001,-0.0000002,-0.0001923,-0.0003893,-0.0003791,0.0020821,-0.0000001,-0.0000002,-0.0000294,-0.0000001,-0.0000001,-0.0000001,0.0059379,-0.0000177,0,-0.0000002,-0.0000002,-0.0000002,-0.0000177,0.0059539,0,0.0002183,-0.0001923,-0.0000294,0,0,0.0054887
242_4224,C10Zr2Ta2Ti2Nb2V2,ZrTiTaNbVC5,Orthorhombic,7.023457,7.020646,4.461548,219.995291,7.91,-199.38112,-0.548,-7.833,67.57,722.4,267.28,190.28,461.37,266.98,186.4,453.64,267.13,188.34,457.5,25.225,25.461,28.439,3.345003013,2770.23,3.126,0.215,0.705,Brittle,20.61,Brittle,stable,0.1052,0.0006,0.0103,N_def.,0.7769,0.749,1.0216,142.03,188.27,4881,8096,5397,511.44,147.51,116.87,-0.2,-0.02,-22.53,147.51,544.05,116.67,-0.22,-0.02,27.13,116.87,116.67,587.94,-0.21,-0.02,-0.91,-0.2,-0.22,-0.21,168.12,2.04,0,-0.02,-0.02,-0.02,2.04,168.28,0,-22.53,27.13,-0.91,0,0,194.23,0.0022016,-0.0005427,-0.0003294,0.0000015,0.0000001,0.0003297,-0.0005427,0.0020678,-0.000303,0.0000016,0.0000001,-0.0003532,-0.0003294,-0.000303,0.0018265,0.0000015,0.0000001,0.0000126,0.0000015,0.0000016,0.0000015,0.0059489,-0.000072,0,0.0000001,0.0000001,0.0000001,-0.000072,0.0059434,0,0.0003297,-0.0003532,0.0000126,0,0,0.0052363
242_3761,C20Zr4Ta4Ti4Nb4Cr4,ZrTiTaNbCrC5,Orthorhombic,6.995476,7.032109,8.892127,437.429481,7.972,-395.482134,-0.412,-7.567,66.04,706,258.57,182.13,442.51,258.52,178.95,436.21,258.55,180.54,439.36,24.205,24.443,27.262,3.218846993,2746.68,4.8621,0.217,0.698,Brittle,25,Brittle,stable,0.089,0.0001,0.0088,N_def.,0.7842,0.7707,0.9605,138.41,180.51,4760,7916,5265,519.59,141.63,112.78,0.89,-0.09,-22.4,141.63,509.47,116.67,-2.43,-2.46,22.09,112.78,116.67,555.94,-1.75,1.09,-0.43,0.89,-2.43,-1.75,166.63,-0.64,-1.59,-0.09,-2.46,1.09,-0.64,160.31,0.43,-22.4,22.09,-0.43,-1.59,0.43,179.09,0.0021566,-0.00054,-0.000324,-0.0000197,-0.0000058,0.0003354,-0.00054,0.0022091,-0.0003543,0.0000283,0.0000371,-0.0003408,-0.000324,-0.0003543,0.0019389,0.000017,-0.0000187,0.0000081,-0.0000197,0.0000283,0.000017,0.0060024,0.000024,0.0000472,-0.0000058,0.0000371,-0.0000187,0.000024,0.0062386,-0.0000201,0.0003354,-0.0003408,0.0000081,0.0000472,-0.0000201,0.0056684
242_3784,C20Zr4Ta4Ti4Nb4Mn4,ZrTiTaNbMnC5,Orthorhombic,6.983974,7.031464,8.909216,437.50835,8.015,-390.877834,-0.35,-7.481,60.07,642.2,230.22,153.36,376.49,224.93,146.12,360.33,227.57,149.74,368.41,19.827,19.958,22.611,2.750304704,2458.93,4.438,0.23,0.658,Brittle,16.35,Brittle,stable,0.2713,0.0116,0.0242,N_def.,0.8318,0.788,0.681,127.57,149.76,4323,7302,4789,474.77,134.77,100.89,2.66,-1.32,-34.85,134.77,474.35,98.88,-6.01,-1.23,7.69,100.89,98.88,453.75,-3.14,-1.58,-38.51,2.66,-6.01,-3.14,151.12,-1.01,-6.48,-1.32,-1.23,-1.58,-1.01,143.88,3.91,-34.85,7.69,-38.51,-6.48,3.91,115.7,0.002404,-0.0006224,-0.0003442,-0.0000465,-0.0000049,0.0006485,-0.0006224,0.0023816,-0.0004209,0.0000764,0.0000236,-0.0004824,-0.0003442,-0.0004209,0.0024353,0.0000716,0.0000004,0.0007388,-0.0000465,0.0000764,0.0000716,0.0066392,0.0000372,0.0003756,-0.0000049,0.0000236,0.0000004,0.0000372,0.0069571,-0.0002361,0.0006485,-0.0004824,0.0007388,0.0003756,-0.0002361,0.009145
229_14,C10Zr2Ta2Ti2Nb2Fe2,ZrTiTaNbFeC5,Orthorhombic,7.004332,7.030161,4.452172,219.231727,8.012,-192.839011,-0.296,-7.535,56.78,607,242.12,142.87,358.17,240.11,122.67,314.45,241.12,132.77,336.31,14.881,14.386,20.048,2.66672867,2506.74,2.6676,0.267,0.551,Ductile,13.62,Brittle,stable,0.8317,0.0042,0.0761,N_def.,0.7481,0.3576,0.9403,152.09,132.72,4072,7226,4530,440.57,129.81,113.83,-0.03,-0.24,-22.37,129.81,445.47,125.87,-0.11,-0.05,12.35,113.83,125.87,554.02,0.45,4.81,3.53,-0.03,-0.11,0.45,143.43,-13.34,-0.1,-0.24,-0.05,4.81,-13.34,66.84,0.11,-22.37,12.35,3.53,-0.1,0.11,147.25,0.0025863,-0.0006575,-0.0003853,0.0000049,0.0000366,0.0004572,-0.0006575,0.0025713,-0.0004475,0.0000062,0.0000336,-0.0003048,-0.0003853,-0.0004475,0.0019876,-0.0000205,-0.0001487,-0.0000685,0.0000049,0.0000062,-0.0000205,0.0071039,0.0014193,0.0000046,0.0000366,0.0000336,-0.0001487,0.0014193,0.015255,-0.0000041,0.0004572,-0.0003048,-0.0000685,0.0000046,-0.0000041,0.0068879
242_11949,C10Zr2Ta2Ti2Nb2Co2,ZrTiTaNbCoC5,Monoclinic,6.988198,7.015171,4.477876,219.510797,8.048,-189.919555,-0.27,-7.547,59.11,631.9,240.43,149.53,371.57,238.52,141.18,353.75,239.47,145.36,362.66,17.713,17.53,21.949,2.781328778,2470.05,2.7605,0.248,0.607,Brittle,17.03,Brittle,stable,0.3037,0.004,0.0287,N_def.,N_def.,N_def.,N_def.,142.99,145.3,4250,7338,4717,437.44,132.77,113.54,-0.63,2.25,-31.43,132.77,471.84,113.05,-0.55,2.43,7.15,113.54,113.05,535.82,-0.55,1.59,-6.07,-0.63,-0.55,-0.55,149.8,5.73,0.02,2.25,2.43,1.59,5.73,104,-0.09,-31.43,7.15,-6.07,0.02,-0.09,131.96,0.0026381,-0.0006528,-0.0004139,0.0000085,-0.0000354,0.0006447,-0.0006528,0.0023966,-0.0003707,0.0000061,-0.0000368,-0.0003025,-0.0004139,-0.0003707,0.0020324,0.0000049,-0.0000137,0.000015,0.0000085,0.0000061,0.0000049,0.0066899,-0.0003693,0.0000009,-0.0000354,-0.0000368,-0.0000137,-0.0003693,0.0096376,-0.0000001,0.0006447,-0.0003025,0.000015,0.0000009,-0.0000001,0.0077487
229_16,C10Zr2Ta2Ti2Nb2Ni2,ZrTiTaNbNiC5,Monoclinic,6.973919,7.049289,4.503861,221.400687,7.976,-185.839529,-0.223,-7.484,56.63,605.4,236.19,135.95,342.19,233.25,129.07,326.92,234.72,132.51,334.55,15.29,14.883,20.009,2.632838399,2371.01,2.6482,0.262,0.565,Ductile,16.31,Brittle,stable,0.2791,0.0063,0.026,N_def.,N_def.,N_def.,N_def.,145.91,132.55,4077,7183,4533,429.9,128.28,119.61,0.24,0.13,-35.81,128.28,442.31,136.42,0.27,0.15,-6.66,119.61,136.42,484.87,0.26,0.18,-0.1,0.24,0.27,0.26,144.59,4.16,0.01,0.13,0.15,0.18,4.16,106.35,0,-35.81,-6.66,-0.1,0.01,0,104.54,0.0027247,-0.0006236,-0.0004965,-0.0000024,-0.0000016,0.0008931,-0.0006236,0.002621,-0.0005836,-0.0000027,-0.0000017,-0.0000471,-0.0004965,-0.0005836,0.002349,-0.0000022,-0.0000024,-0.000205,-0.0000024,-0.0000027,-0.0000022,0.0069241,-0.0002708,-0.0000015,-0.0000016,-0.0000017,-0.0000024,-0.0002708,0.0094138,-0.0000006,0.0008931,-0.0000471,-0.000205,-0.0000015,-0.0000006,0.0098687
242_11950,C10Zr2Ta2Ti2Nb2Cu2,ZrTiTaNbCuC5,Monoclinic,7.006433,7.217562,4.476505,226.338692,7.873,-180.449544,-0.127,-7.223,56.02,598.9,228.62,131.72,331.5,224.34,128.28,323.23,226.48,130,327.37,15.358,15.014,19.63,2.571035493,2304.16,2.5966,0.259,0.574,Brittle,18.62,Brittle,stable,0.1532,0.0094,0.0132,N_def.,N_def.,N_def.,N_def.,139.72,130.01,4064,7127,4517,402.01,122.81,126.97,-0.26,0.26,-15.67,122.81,369.9,145,-0.26,0.26,-9.91,126.97,145,496.09,-0.28,0.26,4.81,-0.26,-0.26,-0.28,141.43,6.11,0,0.26,0.26,0.26,6.11,116.15,-0.01,-15.67,-9.91,4.81,0,-0.01,109.97,0.0028959,-0.000745,-0.000527,0.0000031,-0.0000037,0.0003685,-0.000745,0.0032558,-0.0007631,0.0000032,-0.0000042,0.0002207,-0.000527,-0.0007631,0.0023761,0.0000025,-0.0000026,-0.0002477,0.0000031,0.0000032,0.0000025,0.0070865,-0.0003731,0.0000006,-0.0000037,-0.0000042,-0.0000026,-0.0003731,0.0086293,0.0000003,0.0003685,0.0002207,-0.0002477,0.0000006,0.0000003,0.0091769
242_11951,C10Zr2Ta2Ti2Nb2Zn2,ZrTiTaNbZnC5,Orthorhombic,7.076586,7.23241,4.478394,229.207598,7.801,-175.623024,-0.149,-7.005,57.13,610.8,228.22,136.55,341.54,226.06,134.17,336.04,227.14,135.36,338.79,16.494,16.275,20.439,2.632844154,2310.24,2.6309,0.251,0.596,Brittle,18.56,Brittle,stable,0.0982,0.0048,0.0088,N_def.,0.9243,0.8539,0.8247,136.5,135.41,4166,7230,4626,411.89,127.39,130.32,0.01,-0.06,-1.55,127.39,384.81,130.74,0.04,-0.05,-6.41,130.32,130.74,480.38,0.03,-0.05,-10.66,0.01,0.04,0.03,145.95,-3.36,-0.01,-0.06,-0.05,-0.05,-3.36,128.88,-0.05,-1.55,-6.41,-10.66,-0.01,-0.05,111.73,0.0028385,-0.0007477,-0.0005679,0.0000002,0.0000008,-0.0000577,-0.0007477,0.0030613,-0.000628,-0.0000006,0.0000007,0.0001052,-0.0005679,-0.000628,0.0024108,-0.0000002,0.0000004,0.0001862,0.0000002,-0.0000006,-0.0000002,0.0068559,0.0001787,0.0000008,0.0000008,0.0000007,0.0000004,0.0001787,0.007764,0.0000035,-0.0000577,0.0001052,0.0001862,0.0000008,0.0000035,0.0089728
